Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
231.34547369396782,231.86489123072647,229.5873982094942,231.5252685546875,34082200,0.0,0.0,AAPL
233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335938,32993800,0.0,0.0,AAPL
235.9204255737285,235.9204255737285,233.75281228137578,234.74172973632812,46431500,0.0,0.0,AAPL
234.19234018879644,236.5897117727769,234.19234018879644,236.22010803222656,36254500,0.0,0.0,AAPL
233.6329632952546,235.96040454410334,232.3443876620224,235.60079956054688,38846600,0.0,0.0,AAPL
233.822752128634,234.88158476901867,227.50969037853835,230.5063934326172,52287000,0.0,0.0,AAPL
229.7272566761152,230.56634513279107,228.15898997077215,230.31661987304688,31109500,0.0,0.0,AAPL
229.4875225740561,232.96369380669327,229.3177112321018,231.1556854248047,38802300,0.0,0.0,AAPL
233.06359498314518,234.472033847566,232.29443692443334,233.14349365234375,36087100,0.0,0.0,AAPL
232.84382710997653,234.07247106119948,232.06468555632105,233.41319274902344,35417200,0.0,0.0,AAPL
232.35435817157438,233.21341362628857,229.29772360355057,229.8471221923828,47070900,0.0,0.0,AAPL
229.08795100904055,229.57741798472995,225.1223128313268,225.66172790527344,64370100,0.0,0.0,AAPL
220.72715344034327,225.10234466312102,220.02792579428782,222.66502380371094,65276700,0.0,0.0,AAPL
220.74713841963055,222.54514803369162,219.46854635353304,221.76600646972656,44944500,0.0,0.0,AAPL
221.5562414690178,223.70387248945224,220.896963160989,223.2044219970703,28111300,0.0,0.0,AAPL
222.36535526416637,225.82155947797517,220.94691765378838,222.47523498535156,54561100,0.0,0.0,AAPL
224.38313701629485,227.629565273657,224.32320539488208,227.22999572753906,42137700,0.0,0.0,AAPL
227.1699981689453,228.66000366210938,226.41000366210938,226.9600067138672,38328800,0.25,0.0,AAPL
225.0,225.6999969482422,221.5,224.22999572753906,42005600,0.0,0.0,AAPL
224.5500030517578,225.58999633789062,223.36000061035156,224.22999572753906,40398300,0.0,0.0,AAPL
224.00999450683594,226.64999389648438,222.75999450683594,225.1199951171875,48566200,0.0,0.0,AAPL
225.02000427246094,228.8699951171875,225.0,228.22000122070312,44923900,0.0,0.0,AAPL
226.39999389648438,226.9199981689453,224.27000427246094,225.0,47832200,0.0,0.0,AAPL
415.1700134277344,416.3599853515625,410.4800109863281,416.1199951171875,15508900,0.0,0.0,MSFT
422.3599853515625,422.5,415.5899963378906,416.7200012207031,14820000,0.0,0.0,MSFT
417.1400146484375,419.6499938964844,416.260009765625,418.1600036621094,17145300,0.0,0.0,MSFT
416.1199951171875,418.9599914550781,413.75,418.7799987792969,14206100,0.0,0.0,MSFT
418.489990234375,430.5799865722656,418.0400085449219,427.510009765625,25482200,0.0,0.0,MSFT
430.8599853515625,431.0799865722656,422.5299987792969,424.6000061035156,19654400,0.0,0.0,MSFT
425.3299865722656,425.9800109863281,422.3999938964844,424.7300109863281,13581600,0.0,0.0,MSFT
426.760009765625,432.5199890136719,426.57000732421875,428.1499938964844,16899100,0.0,0.0,MSFT
431.6600036621094,431.94000244140625,426.29998779296875,426.5899963378906,14882400,0.0,0.0,MSFT
428.0,433.1700134277344,425.79998779296875,431.95001220703125,17644100,0.0,0.0,MSFT
437.44000244140625,438.5,432.1000061035156,432.5299987792969,29749100,0.0,0.0,MSFT
415.3599853515625,416.1600036621094,406.29998779296875,406.3500061035156,53971000,0.0,0.0,MSFT
409.010009765625,415.5,407.5,410.3699951171875,24230400,0.0,0.0,MSFT
409.79998779296875,410.4200134277344,405.57000732421875,408.4599914550781,19672300,0.0,0.0,MSFT
408.3699951171875,414.8999938964844,408.0799865722656,411.4599914550781,17626000,0.0,0.0,MSFT
412.4200134277344,420.45001220703125,410.5199890136719,420.17999267578125,26681800,0.0,0.0,MSFT
421.2799987792969,426.8500061035156,419.8800048828125,425.42999267578125,19901800,0.0,0.0,MSFT
425.32000732421875,426.5,421.7799987792969,422.5400085449219,16891400,0.0,0.0,MSFT
422.5199890136719,424.80999755859375,416.0,418.010009765625,24503300,0.0,0.0,MSFT
418.25,424.44000244140625,417.20001220703125,423.0299987792969,19401200,0.0,0.0,MSFT
421.6400146484375,429.3299865722656,418.2099914550781,425.20001220703125,21502200,0.0,0.0,MSFT
425.0,428.1700134277344,420.0,426.8900146484375,30246900,0.0,0.0,MSFT
419.82000732421875,422.79998779296875,413.6400146484375,415.0,28196600,0.0,0.0,MSFT
164.52999877929688,165.8000030517578,163.74000549316406,165.16000366210938,16406000,0.0,0.0,GOOGL
165.72999572753906,166.3699951171875,162.75999450683594,162.92999267578125,21453400,0.0,0.0,GOOGL
163.19000244140625,164.7100067138672,163.0800018310547,163.4199981689453,19757700,0.0,0.0,GOOGL
162.9499969482422,164.5,162.6199951171875,164.07000732421875,20946500,0.0,0.0,GOOGL
162.97999572753906,165.77000427246094,162.97999572753906,165.13999938964844,16568100,0.0,0.0,GOOGL
164.75999450683594,165.82000732421875,161.92999267578125,162.77999877929688,18280500,0.0,0.0,GOOGL
162.8300018310547,163.3300018310547,161.00999450683594,162.72000122070312,22412500,0.0,0.0,GOOGL
163.6699981689453,165.58999633789062,163.4199981689453,165.27000427246094,19828900,0.0,0.0,GOOGL
168.75,168.75,163.9499969482422,166.72000122070312,32138600,0.0,0.0,GOOGL
167.72999572753906,170.3800048828125,167.08999633789062,169.67999267578125,42169000,0.0,0.0,GOOGL
180.67999267578125,182.02000427246094,174.05999755859375,174.4600067138672,68890800,0.0,0.0,GOOGL
173.1300048828125,176.82000732421875,171.0,171.11000061035156,44769000,0.0,0.0,GOOGL
