index,Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Ticker,Published_Date,published_time_x,Created_At,group_name,published_at,author,url_x,Title,Description,content,published_time_y,id_y,title_y,Source,Summary,Url,Created_At,title_y_Sentiment_Score,content_Sentiment_Score,Combined_Description,Processed_Text,Sentiment_Score,Sentiment_Label,Published_Year,Published_Month,Published_Weekday,Published_Hour,Is_Weekend,Close_Lag1,Close_Lag2,MA_5,MA_10,MA_20,Price_Range,Daily_Return,Positive_Sentiment,Negative_Sentiment,SMA_50,EMA_50,Bollinger_Upper,Bollinger_Lower,RSI,high_low,high_close,low_close,TR,ATR,log_return,volatility,Prev Close,Price_Change,Target
1,2024-10-16 04:00:00,231.34547369396785,231.86489123072647,229.5873982094942,231.5252685546875,34082200.0,0.0,0.0,AAPL,2024-10-16,04:00:00,138.0,Apple,2024-10-16 15:38:21,Sheena Vasani,https://www.theverge.com/2024/10/16/24270849/oneplus-pad-amazon-smart-thermostat-deal-sale,The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard,OnePlus is selling the OnePlus Pad for $359.99 with a free magnetic keyboard. Amazon’s Smart Thermostat and the USB-C Apple Pencil are also on sale.,"The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
 / We also found deals on the Amazon Smart … [+3298 chars]",15:38:21,,,,,,,,0.875,"The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard  OnePlus is selling the OnePlus Pad for $359.99 with a free magnetic keyboard. Amazon’s Smart Thermostat and the USB-C Apple Pencil are also on sale.  The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
The OnePlus Pad is cheaper than ever and comes with a free magnetic keyboard
 / We also found deals on the Amazon Smart … [+3298 chars]",oneplus pad cheaper ever come free magnetic keyboard oneplus selling oneplus pad free magnetic keyboard amazon smart thermostat apple pencil also sale oneplus pad cheaper ever come free magnetic keyboard oneplus pad cheaper ever come free magnetic keyboard also found deal amazon smart char,0.9638,Positive,2024,10,2,4.0,0,,,,,,2.27749302123226,,1,0,232.09085418701173,231.5252685546875,,,50.54634881244068,2.27749302123226,,,2.27749302123226,,,,,,0
2,2024-10-16 04:00:00,231.34547369396785,231.86489123072647,229.5873982094942,231.5252685546875,34082200.0,0.0,0.0,AAPL,2024-10-16,04:00:00,180.0,Apple,2024-10-16 16:54:19,Mike Fazioli,https://gizmodo.com/pre-order-the-new-apple-ipad-mini-7-at-a-discounted-price-no-joke-2000512555,"Pre-Order the New Apple iPad Mini 7 at a Discounted Price, No Joke","Apple's groundbreaking new tablet is going to be one of the hottest holiday buys of the year, so get yours while you can.",Shopping prognosticators agree that one of the hottest Black Friday/Cyber Monday buys of the year will be on the new Apple iPad Mini the first one that’s built for Apple Intelligence. Pre-orders have… [+2269 chars],16:54:19,,,,,,,,0.6808,"Pre-Order the New Apple iPad Mini 7 at a Discounted Price, No Joke  Apple's groundbreaking new tablet is going to be one of the hottest holiday buys of the year, so get yours while you can.  Shopping prognosticators agree that one of the hottest Black Friday/Cyber Monday buys of the year will be on the new Apple iPad Mini the first one that’s built for Apple Intelligence. Pre-orders have… [+2269 chars]",new apple ipad mini discounted price joke apple groundbreaking new tablet going one hottest holiday buy year get shopping prognosticator agree one hottest black monday buy year new apple ipad mini first one built apple intelligence char,0.8658,Positive,2024,10,2,4.0,0,231.5252685546875,,,,,2.27749302123226,0.0,1,0,232.09085418701173,231.5252685546875,,,50.54634881244068,2.27749302123226,0.3396226760389709,1.9378703451932893,2.27749302123226,,0.0,,231.5252685546875,0.0,0
3,2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335935,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,169.0,Apple,2024-10-17 13:00:00,Chris Welch,https://www.theverge.com/c/24238184/apple-ipod-mini-2004-retro-tech-steve-jobs,Was this the sickest iPod?,The iPod Mini didn’t last long — but the tiny MP3 player showed exactly how big Apple’s idea could be.,"I never owned an iPod Mini. Even as a college freshman back at the time of its introduction, I was already more of a full-size iPod kind of nerd. Mine was the third-gen model with the backlit buttons… [+4980 chars]",13:00:00,,,,,,,,-0.3597,"Was this the sickest iPod?  The iPod Mini didn’t last long — but the tiny MP3 player showed exactly how big Apple’s idea could be.  I never owned an iPod Mini. Even as a college freshman back at the time of its introduction, I was already more of a full-size iPod kind of nerd. Mine was the third-gen model with the backlit buttons… [+4980 chars]",sickest ipod ipod mini last long tiny player showed exactly big apple idea could never owned ipod mini even college freshman back time introduction already ipod kind nerd mine model backlit char,0.296,Positive,2024,10,3,4.0,0,231.5252685546875,231.5252685546875,,,,3.3263422435319967,0.001596363070774487,1,0,232.09085418701173,231.5397626091452,,,50.54634881244068,3.3263422435319967,2.0677423254207383,1.2585999181112584,3.3263422435319967,,0.0015950902376700795,,231.5252685546875,0.001596363070774487,1
4,2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335935,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,114.0,Apple,2024-10-17 13:39:16,Billy Steele,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7ea2282d-108d-445c-b4b9-8c1fd169551d,Apple Music helps artists turn concert set lists into playlists,"There's a certain level of fandom you hit when you research a band's tour set list before they come to your city. And some of us like to relive great concerts with some quick research on setlist.fm. The next logical step, once we're armed with this informatio…","If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",13:39:16,,,,,,,,0.5423,"Apple Music helps artists turn concert set lists into playlists  There's a certain level of fandom you hit when you research a band's tour set list before they come to your city. And some of us like to relive great concerts with some quick research on setlist.fm. The next logical step, once we're armed with this informatio…  If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",apple music help artist turn concert set list playlist certain level fandom hit research band tour set list come city u like relive great concert quick research next logical step armed click partner including part iab transparency amp consent framework also store access information device word use char,0.9062,Positive,2024,10,3,4.0,0,231.89486694335935,231.5252685546875,,,,3.3263422435319967,0.0,1,0,232.09085418701173,231.55368826931047,,,50.54634881244068,3.3263422435319967,1.6981439367488917,1.628198306783105,3.3263422435319967,,0.0,,231.89486694335935,0.0,0
5,2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335935,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,190.0,Apple,2024-10-17 13:20:36,Joe Rossignol,https://www.macrumors.com/2024/10/17/apple-celebrates-10-years-of-apple-pay/,Apple Shares Letter Celebrating 10-Year Anniversary of Apple Pay,"Apple today shared a letter celebrating the recent 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 18.1.





Here is the full letter from Jennifer Bailey, Apple's vice president of Apple Pay and Apple Wallet:Wh…","Apple today shared a letter celebrating the upcoming 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 8.1.Here is the full letter from Jennifer Bailey, … [+3478 chars]",13:20:36,,,,,,,,0.7351,"Apple Shares Letter Celebrating 10-Year Anniversary of Apple Pay  Apple today shared a letter celebrating the recent 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 18.1.





Here is the full letter from Jennifer Bailey, Apple's vice president of Apple Pay and Apple Wallet:Wh…  Apple today shared a letter celebrating the upcoming 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 8.1.Here is the full letter from Jennifer Bailey, … [+3478 chars]",apple share letter celebrating anniversary apple pay apple today shared letter celebrating recent anniversary apple pay launched october part io full letter jennifer bailey apple vice president apple pay apple wallet apple today shared letter celebrating upcoming anniversary apple pay launched october part io full letter jennifer bailey char,0.9477,Positive,2024,10,3,4.0,0,231.89486694335935,231.89486694335935,231.7470275878906,,,3.3263422435319967,0.0,1,0,232.09085418701173,231.56706782515553,,,50.54634881244068,3.3263422435319967,1.6981439367488917,1.628198306783105,3.3263422435319967,,0.0,,231.89486694335935,0.0,0
6,2024-10-17 04:00:00,233.17345903647427,233.59301088010824,230.26666863657624,231.89486694335935,32993800.0,0.0,0.0,AAPL,2024-10-17,04:00:00,199.0,Apple,2024-10-17 15:41:06,Kyle Barr,https://gizmodo.com/walmart-is-selling-a-17000-house-that-looks-like-an-iphone-2000512971,"Walmart Is Selling a $17,000 House That Looks Like an iPhone","You can now find multiple listings for prefabricated homes on Walmart for under $16,000, but you also need to remember that home ownership will never be cheap.","If the tiny home obsession wasnt already enough, Walmart now sells prefab homes on its website for $15,900 or less. The promise is four walls and a bathroom you can set up with two friends and a few … [+3185 chars]",15:41:06,,,,,,,,0.4062,"Walmart Is Selling a $17,000 House That Looks Like an iPhone  You can now find multiple listings for prefabricated homes on Walmart for under $16,000, but you also need to remember that home ownership will never be cheap.  If the tiny home obsession wasnt already enough, Walmart now sells prefab homes on its website for $15,900 or less. The promise is four walls and a bathroom you can set up with two friends and a few … [+3185 chars]",walmart selling house look like iphone find multiple listing prefabricated home walmart also need remember home ownership never cheap tiny home obsession wasnt already enough walmart sell prefab home website less promise four wall bathroom set two friend char,0.6494,Positive,2024,10,3,4.0,0,231.89486694335935,231.89486694335935,231.820947265625,,,3.3263422435319967,0.0,1,0,232.09085418701173,231.5799226925361,,,50.54634881244068,3.3263422435319967,1.6981439367488917,1.628198306783105,3.3263422435319967,,0.0,,231.89486694335935,0.0,0
8,2024-10-18 04:00:00,235.9204255737285,235.9204255737285,233.75281228137575,234.74172973632812,46431500.0,0.0,0.0,AAPL,2024-10-18,04:00:00,154.0,Apple,2024-10-18 14:25:36,Joe Tilleli,https://gizmodo.com/beat-the-black-friday-rush-with-this-macbook-pro-at-its-lowest-price-ever-2000513532,Beat the Black Friday Rush with This MacBook Pro at Its Lowest Price Ever,"Apple rarely offers discounts, so this deal won’t last long—act fast before it’s gone",Amazon Prime Big Deals Days has already come to pass. This is Amazon’s big seasonal savings even where you can find tons of different products on sale for massive discounts across all categories. Fro… [+2426 chars],14:25:36,,,,,,,,0.1779,"Beat the Black Friday Rush with This MacBook Pro at Its Lowest Price Ever  Apple rarely offers discounts, so this deal won’t last long—act fast before it’s gone  Amazon Prime Big Deals Days has already come to pass. This is Amazon’s big seasonal savings even where you can find tons of different products on sale for massive discounts across all categories. Fro… [+2426 chars]",beat black friday rush macbook pro lowest price ever apple rarely offer discount deal last fast gone amazon prime big deal day already come pas amazon big seasonal saving even find ton different product sale massive discount across category char,-0.0516,Negative,2024,10,4,4.0,0,231.89486694335935,231.89486694335935,232.46423950195313,,,2.1676132923527405,0.012276523540575512,0,1,232.09085418701173,231.70391512562597,,,50.54634881244068,2.1676132923527405,4.025558630369147,1.8579453380164068,4.025558630369147,,0.012201778146077398,,231.89486694335935,0.012276523540575512,1
9,,,,,234.74172973632812,0.0,,,AAPL,2024-10-19,,155.0,Apple,2024-10-19 12:17:03,Mike Fazioli,https://gizmodo.com/this-grade-a-refurbished-macbook-air-is-cheaper-than-your-ipad-and-delivers-outstanding-performance-2000513831,This Grade A Refurbished MacBook Air Is Cheaper Than Your iPad and Delivers Outstanding Performance,StackSocial's 74%-off deal on this Grade A refurbished Apple laptop is a true steal.,"Apple loves to talk about the laptop-like experience of the iPad, and they make an excellent case because the iPad is an amazing tablet. But why spend $1,300 on a new 13-inch iPad Pro when you can bu… [+2193 chars]",12:17:03,,,,,,,,0.7269,"This Grade A Refurbished MacBook Air Is Cheaper Than Your iPad and Delivers Outstanding Performance  StackSocial's 74%-off deal on this Grade A refurbished Apple laptop is a true steal.  Apple loves to talk about the laptop-like experience of the iPad, and they make an excellent case because the iPad is an amazing tablet. But why spend $1,300 on a new 13-inch iPad Pro when you can bu… [+2193 chars]",grade refurbished macbook air cheaper ipad delivers outstanding performance stacksocial deal grade refurbished apple laptop true steal apple love talk experience ipad make excellent case ipad amazing tablet spend new ipad pro char,0.946,Positive,2024,10,5,,1,234.74172973632812,231.89486694335935,,,,,0.0,1,0,232.09085418701173,231.8230451103594,,,50.54634881244068,,,,,,0.0,,234.74172973632812,0.0,0
10,2024-10-21 04:00:00,234.19234018879644,236.5897117727769,234.19234018879644,236.22010803222656,36254500.0,0.0,0.0,AAPL,2024-10-21,04:00:00,123.0,Apple,2024-10-21 11:00:00,Christopher Null,https://www.wired.com/review/apple-airpods-pro-2-with-hearing-aid-feature/,Apple AirPods Pro 2 With Hearing Aid Feature Review: A Promising Step,"Apple takes on hearing loss, and its first product is a big step in the right direction.","You can make some of these adjustments by manipulating the stems of the earbuds, which now have even more functions to master. These hardware operations can be finicky, and in almost every situation,… [+1764 chars]",11:00:00,,,,,,,,-0.3612,"Apple AirPods Pro 2 With Hearing Aid Feature Review: A Promising Step  Apple takes on hearing loss, and its first product is a big step in the right direction.  You can make some of these adjustments by manipulating the stems of the earbuds, which now have even more functions to master. These hardware operations can be finicky, and in almost every situation,… [+1764 chars]",apple airpods pro hearing aid feature review promising step apple take hearing loss first product big step right direction make adjustment manipulating stem earbuds even function master hardware operation finicky almost every situation char,-0.2732,Negative,2024,10,0,4.0,0,,234.74172973632812,,,,2.3973715839804584,0.006297892997376264,0,1,232.09085418701173,231.99547895043264,,,50.54634881244068,2.3973715839804584,1.8479820364487693,0.549389547531689,2.3973715839804584,,0.006278144143347868,,234.74172973632812,0.006297892997376264,1
11,2024-10-21 04:00:00,234.19234018879644,236.5897117727769,234.19234018879644,236.22010803222656,36254500.0,0.0,0.0,AAPL,2024-10-21,04:00:00,125.0,Apple,2024-10-21 14:48:07,Kyle Barr,https://gizmodo.com/tim-cook-knows-apple-isnt-first-in-ai-but-says-its-about-being-the-best-2000514347,Tim Cook Knows Apple Isn’t First in AI but Says ‘It’s About Being the Best’,"Apple reportedly conducted internal studies showing Apple Intelligence is two years behind ChatGPT, but that may not matter.","Ricky Bobby from the 2006 film Talladega Nights would find Apples belated rollout of Apple Intelligence a sure sign of failure. If you aint first, youre last, he’d say to Apple CEO Tim Cook. In the m… [+4653 chars]",14:48:07,,,,,,,,0.2732,"Tim Cook Knows Apple Isn’t First in AI but Says ‘It’s About Being the Best’  Apple reportedly conducted internal studies showing Apple Intelligence is two years behind ChatGPT, but that may not matter.  Ricky Bobby from the 2006 film Talladega Nights would find Apples belated rollout of Apple Intelligence a sure sign of failure. If you aint first, youre last, he’d say to Apple CEO Tim Cook. In the m… [+4653 chars]",tim cook know apple first ai say best apple reportedly conducted internal study showing apple intelligence two year behind chatgpt may matter ricky bobby film talladega night would find apple belated rollout apple intelligence sure sign failure aint first youre last say apple ceo tim cook char,0.8591,Positive,2024,10,0,4.0,0,236.22010803222656,,,,,2.3973715839804584,0.0,1,0,232.09085418701173,232.16115067913046,,,50.54634881244068,2.3973715839804584,0.36960374055033185,2.0277678434301265,2.3973715839804584,,0.0,,236.22010803222656,0.0,0
